"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","see","dont","feel","your","hey","want","now","yeah","let","love"
"2","boy","give","its","one","way","away","the","never","say","take"
"3","girl","you","fall","can","you","just","and","like","wont","and"
"4","hello","know","gonna","know","like","get","need","life","just","time"
"5","friend","damn","cant","make","girlfriend","all","day","live","know","alway"
"6","enough","care","when","wanna","think","everyth","right","run","caus","ill"
"7","come","say","will","babi","know","thought","your","here","yeah","but"
"8","now","think","and","now","can","but","turn","get","keep","goodby"
"9","world","alon","around","and","dont","back","left","els","life","will"
"10","home","what","togeth","there","caus","end","when","well","noth","find"
"11","show","caus","last","better","want","know","wish","forev","there","cant"
"12","bad","gonna","fast","face","need","much","everyth","stay","well","ever"
"13","head","guy","how","gone","better","and","heart","door","night","place"
"14","but","cri","believ","stop","and","tri","gone","grow","ive","that"
"15","she","tri","hand","that","secret","got","like","yea","make","hide"
"16","kitti","anyth","ill","sea","one","time","around","sing","thing","star"
"17","ill","leav","differ","good","new","that","didnt","knock","hold","gotta"
"18","pleas","rock","right","cant","shes","thing","you","whoa","see","then"
"19","ive","tell","still","long","hell","lost","okay","open","never","dream"
"20","good","hang","summer","get","tell","happi","back","trust","today","mayb"
